"author","text","date","bios","retweet_author","Name","Link","State","Party","congress"
"RepJeffries","Individual 1 just folded on reckless #TrumpShutdown.

We will reopen government shortly.

Not a dime for his mediev… https://t.co/s6RXpT0KSK","Fri Jan 25 19:37:01 +0000 2019","Brooklyn & Queens Congressman. Chair @HouseDemocrats. Speak truth. Do the work. Change America.","","Jeffries, Hakeem","https://twitter.com/RepJeffries","NY","D","House"
"RepRubenGallego","RT @RepKClark: 4 years ago today, Republicans gave the wealthiest Americans &amp; corporations a $2 trillion tax cut. 

And this year, every si…","Wed Dec 22 22:20:57 +0000 2021","Proud representative of Arizona's 7th Congressional District. #AZ07","RepKClark","Gallego, Ruben","https://twitter.com/RepRubenGallego","AZ","D","House"
"SenatorTimScott","RT @WCBD: Roper will temporarily consolidate its Express Care facilities beginning next week. Two offices will become virtual care centers.…","Fri Apr 10 16:50:21 +0000 2020","Just a South Carolinian living his mama’s American Dream.","WCBD","Scott, Tim","https://twitter.com/SenatorTimScott","SC","R","senate"
"SenatorRomney","Washington Democrats are set to carry out a reckless tax &amp; spending spree–pushing a $3.5 trillion bill filled with… https://t.co/SMme0eXWDD","Tue Aug 10 21:27:01 +0000 2021","United States Senator from the great state of Utah.","","Romney, Mitt","https://twitter.com/SenatorRomney","UT","R","senate"
"SenGaryPeters","Don’t miss your chance to join an info session my office is hosting about attending our distinguished U.S. Military… https://t.co/FOruVV0pLt","Wed Jun 02 19:06:50 +0000 2021","U.S. Senator proudly representing the state of Michigan. For federal resources on the Coronavirus click here ⬇️⬇️⬇️","","Peters, Gary C.","https://twitter.com/SenGaryPeters","MI","D","senate"
"SenatorLankford","Cindy &amp; I spent this evening with our Oklahoma National Guard to show them around the Capitol &amp; share some history… https://t.co/XiRIOwa5q2","Thu Jan 21 01:58:59 +0000 2021","Follower of Christ, husband to Cindy, father of two daughters serving the state of Oklahoma in the United States Senate.","","Lankford, James","https://twitter.com/SenatorLankford","OK","R","senate"
"RepBrianBabin","Biden creates the worst border crisis in U.S. history ➡️ Dems push to cut funding for @CBP/@ICEgov.

Don’t let the… https://t.co/UOZcU8JNBL","Wed Jul 07 16:16:32 +0000 2021","Proudly serving #TX36 residents in Congress. Ranking Member of Space & Aeronautics Subcmte, Border Sec co-chair & serve on @HouseScienceGOP/@TransportGOP Cmte.","","Babin, Brian","https://twitter.com/RepBrianBabin","TX","R","House"
"USRepLong","RT @HouseCommerce: https://t.co/mHWQjfoDNk","Mon Sep 13 19:24:50 +0000 2021","Representing Missouri’s 7th District in the United States Congress - Member of the House Energy and Commerce Committee","HouseCommerce","Long, Billy","https://twitter.com/USRepLong","MO","R","House"
"CongressmanRaja","Keeping the cost of drugs low for Medicare patients and reducing direct &amp; indirect remuneration will help alleviate… https://t.co/Kk9xPO7Fk2","Mon Jun 07 23:10:02 +0000 2021","Official Twitter account of Congressman Raja Krishnamoorthi, serving on @HouseIntel and @OversightDems, and representing Illinois' 8th Congressional District.","","Krishnamoorthi, Raja","https://twitter.com/CongressmanRaja","IL","D","House"
"RepAlGreen","#Rexit is here - Sec. Tillerson is out. Pres. Trump continues to make impulsive decisions regarding American diplom… https://t.co/HAp7LbNcsE","Tue Mar 13 18:05:59 +0000 2018","Proud to represent TX-09 in the U.S. House of Representatives 
• https://t.co/Lcfa10jIfH • https://t.co/MXGp8OLtZm 
#First58 #Historic66 #Noble95","","Green, Al","https://twitter.com/RepAlGreen","TX","D","House"
"CongressmanGT","RT @RiponAdvance: Bill led by @CongressmanGT to permanently close the nation's skills gap passes the House w/strong bipartisan support http…","Mon Jun 26 17:46:34 +0000 2017","I have the distinct honor and privilege to represent and serve the citizens of Pennsylvania's 15th Congressional District. #PA15","RiponAdvance","Thompson, Glenn","https://twitter.com/CongressmanGT","PA","R","House"
"RepGaramendi","RT @CNNnewsroom: “If you want to be patriotic in America, wash your hands, don't cough on people, use your coat to cough in … that's how re…","Fri Mar 06 15:22:29 +0000 2020","Congressman for California's 3rd Congressional District, former Lieutenant Governor, Insurance Commissioner, Deputy Interior Secretary, state legislator","CNNnewsroom","Garamendi, John","https://twitter.com/RepGaramendi","CA","D","House"
"RepNewhouse","I'm proud to play a small part in finalizing this transfer. This is exactly the kind of improvement we need to allo… https://t.co/Vj0wHQVzn2","Thu Aug 05 19:42:12 +0000 2021","Proud to represent Washington's 4th District in the U.S. Congress","","Newhouse, Dan","https://twitter.com/RepNewhouse","WA","R","House"
"RepJimmyPanetta","It's been great watching Marina's Matai Leuta compete in the Olympics on the US National Rugby Team. This Seaside H… https://t.co/cGdUnPG1iT","Wed Jul 28 14:54:24 +0000 2021","I'm honored to serve as the Congressman for California's Central Coast (CA-20) in the U.S. House of Representatives.","","Panetta, Jimmy","https://twitter.com/RepJimmyPanetta","CA","D","House"
"RepChrisStewart","Remembering those who gave their all including my friends Mike, Zen, and Flynn. God bless our nation and our hero s… https://t.co/VIaVCDNOnD","Mon May 25 16:37:38 +0000 2020","Utah's 2nd District Congressman. Former Air Force B-1 pilot, author, House Intelligence & Appropriations Committees. 

https://t.co/GUW6weAva6","","Stewart, Chris","https://twitter.com/RepChrisStewart","UT","R","House"
"Sen_JoeManchin","Gayle and I are praying for @GenChuckYeager's family and all who loved or admired him. May his example of courage i… https://t.co/YAYU8yjy9E","Tue Dec 08 04:03:08 +0000 2020","U.S. Senator for #WV. Chairman of @EnergyDems. Please do not hesitate to contact me to share your commonsense ideas, concerns or if you need assistance.","","Manchin, Joe, III","https://twitter.com/Sen_JoeManchin","WV","D","senate"
"RepDLesko","Democrats in the Energy and Commerce Committee BLOCKED this common-sense amendment that would help put America’s se… https://t.co/SUdOOaLPCr","Tue Feb 16 21:43:23 +0000 2021","Proudly representing Arizona's 8th Congressional District in Congress. Member of @HouseCommerce. #AZ08","","Lesko, Debbie","https://twitter.com/RepDLesko","AZ","R","House"
"SenFeinstein","RT @CHHSAgency: Vaccines are now open to Californians ages 12 and up! Visit https://t.co/xethWby0Xe or call (833) 422-4255 to make an appoi…","Mon Jun 07 16:22:27 +0000 2021","United States Senator from California. On Facebook at: https://t.co/RVLkJPLS9Y","Cal_HHS","Feinstein, Dianne","https://twitter.com/SenFeinstein","CA","D","senate"
"SenatorLankford","RT @DanSnyderFOX25: WATCH: I spoke with @SenatorLankford about Pres. #Trump's photo-op outside St. John's Church; While Lankford says it ma…","Wed Jun 03 19:51:39 +0000 2020","Follower of Christ, husband to Cindy, father of two daughters serving the state of Oklahoma in the United States Senate.","DanSnyderFOX25","Lankford, James","https://twitter.com/SenatorLankford","OK","R","senate"
